Source,Target,Weight
60,46,0.48112522432468824
60,50,0.5892556509887895
60,51,0.4216370213557839
60,52,0.6666666666666666
60,54,0.4974683381630909
60,59,0.6024640760767093
60,64,0.4216370213557839
60,68,0.3849001794597505
60,69,0.3849001794597505
60,71,0.4444444444444444
60,73,0.4714045207910317
60,101,0.5443310539518174
60,102,0.4303314829119351
60,167,0.408248290463863
60,359,0.4714045207910316
60,361,0.408248290463863
60,383,0.4714045207910316
60,398,0.3849001794597505
60,402,0.3779644730092272
60,585,0.3849001794597505
60,639,0.4444444444444444
60,671,0.48507125007266594
60,678,0.3849001794597505
60,688,0.502518907629606
60,689,0.5039526306789696
60,690,0.40201512610368484
60,695,0.5039526306789696
60,708,0.4216370213557839
60,726,0.5962847939999438
60,754,0.5443310539518174
60,781,0.5773502691896258
60,792,0.5443310539518174
60,840,0.4714045207910316
60,912,0.3779644730092272
60,931,0.4444444444444444
61,111,0.5962847939999438
61,115,0.47434164902525683
61,186,0.4472135954999579
61,535,0.39999999999999997
61,537,0.7302967433402215
61,546,0.39999999999999997
61,547,0.5163977794943223
61,554,0.5163977794943223
61,557,0.44721359549995787
61,559,0.4472135954999579
61,560,0.7302967433402215
61,610,0.4242640687119285
61,612,0.5163977794943223
61,619,0.4472135954999579
61,621,0.44721359549995787
61,625,0.47434164902525683
61,677,0.47434164902525683
61,703,0.40451991747794525
61,704,0.4242640687119285
61,706,0.3721042037676254
61,709,0.39999999999999997
61,745,0.5070925528371099
61,825,0.4472135954999579
61,879,0.4780914437337575
61,904,0.5477225575051662
61,910,0.4472135954999579
61,925,0.5163977794943223
62,29,0.38729833462074176
62,30,0.4242640687119285
62,749,0.5976143046671968
62,782,0.4242640687119285
62,783,0.4743416490252569
62,784,0.38729833462074176
62,786,0.38729833462074176
62,792,0.38729833462074176
62,915,0.4743416490252569
62,917,0.38138503569823695
62,929,0.4242640687119285
63,406,0.4216370213557839
64,20,0.4780914437337574
64,36,0.4216370213557839
64,41,0.39999999999999997
64,50,0.4472135954999579
64,51,0.39999999999999997
64,52,0.4743416490252569
64,60,0.4216370213557839
64,67,0.4767312946227962
64,101,0.38729833462074176
64,726,0.4242640687119285
64,754,0.38729833462074176
64,792,0.38729833462074176
64,840,0.4472135954999579
65,1,0.40824829046386296
65,2,0.37267799624996495
65,3,0.4879500364742666
65,14,0.48686449556014766
65,29,0.37267799624996495
65,68,0.42163702135578396
65,92,0.521749194749951
65,99,0.5270462766947299
65,141,0.3853373177942262
65,283,0.38729833462074165
65,326,0.37267799624996495
65,327,0.4472135954999579
65,329,0.4564354645876384
65,332,0.404145188432738
65,338,0.39036002917941326
65,339,0.4564354645876384
65,349,0.42163702135578396
65,359,0.38729833462074165
65,360,0.5009794328681195
65,364,0.38729833462074165
65,369,0.4564354645876384
65,386,0.4564354645876384
65,388,0.48989794855663554
65,398,0.42163702135578396
65,405,0.5163977794943222
65,442,0.4216370213557839
65,495,0.48304589153964794
65,503,0.5520524474738833
65,535,0.48989794855663554
65,536,0.47434164902525694
65,546,0.40824829046386296
65,572,0.48989794855663554
65,593,0.37267799624996495
65,602,0.4879500364742666
65,605,0.5270462766947299
65,606,0.4260064336151292
65,619,0.4564354645876384
65,745,0.4140393356054125
65,768,0.3903600291794133
65,772,0.42600643361512913
65,792,0.37267799624996495
65,836,0.42163702135578396
65,911,0.37267799624996495
65,912,0.41403933560541245
65,929,0.40824829046386296
65,930,0.48989794855663554
65,932,0.48304589153964794
66,91,0.4999999999999999
67,23,0.40451991747794525
67,64,0.4767312946227962
67,90,0.45584230583855173
68,3,0.4629100498862758
68,20,0.6546536707079772
68,36,0.3849001794597505
68,50,0.408248290463863
68,52,0.5773502691896258
68,55,0.5773502691896258
68,56,0.4629100498862758
68,60,0.3849001794597505
68,65,0.42163702135578396
68,71,0.3849001794597505
68,75,0.5773502691896258
68,92,0.4714045207910318
68,99,0.5000000000000001
68,101,0.4714045207910318
68,102,0.4472135954999579
68,208,0.3849001794597505
68,279,0.3973597071195132
68,283,0.408248290463863
68,349,0.6666666666666669
68,359,0.816496580927726
68,360,0.5940885257860046
68,361,0.7071067811865477
68,364,0.408248290463863
68,405,0.408248290463863
68,412,0.6405126152203486
68,503,0.4364357804719848
68,572,0.38729833462074176
68,671,0.420084025208403
68,710,0.408248290463863
68,726,0.5163977794943223
68,754,0.4714045207910318
68,772,0.3849001794597505
